PROJECT	proj_dbid	proj_gen_tech	proj_load_zone	proj_connect_cost_per_mw	proj_capacity_limit_mw	proj_variable_om
Oahu_CentralTrackingPV_328_na	.	CentralTrackingPV	Oahu	26243.62024	27.50367747	.
Oahu_CentralTrackingPV_329_na	.	CentralTrackingPV	Oahu	27086.25873	5.831516968	.
Oahu_CentralTrackingPV_32_na	.	CentralTrackingPV	Oahu	28499.1171	0.017579436	.
Oahu_CentralTrackingPV_330_na	.	CentralTrackingPV	Oahu	27938.22598	20.09957107	.
Oahu_CentralTrackingPV_331_na	.	CentralTrackingPV	Oahu	28808.40774	18.57489561	.
Oahu_CentralTrackingPV_332_na	.	CentralTrackingPV	Oahu	29676.72059	12.86891199	.
Oahu_CentralTrackingPV_333_na	.	CentralTrackingPV	Oahu	30552.12598	19.66657516	.
Oahu_CentralTrackingPV_334_na	.	CentralTrackingPV	Oahu	31443.97534	8.891711833	.
Oahu_CentralTrackingPV_335_na	.	CentralTrackingPV	Oahu	32331.91317	3.125047716	.
Oahu_CentralTrackingPV_336_na	.	CentralTrackingPV	Oahu	33225.33551	38.06457596	.
Oahu_CentralTrackingPV_337_na	.	CentralTrackingPV	Oahu	34123.81168	17.66426434	.
Oahu_CentralTrackingPV_338_na	.	CentralTrackingPV	Oahu	35037.12564	15.68540415	.
Oahu_CentralTrackingPV_339_na	.	CentralTrackingPV	Oahu	35944.62677	3.952699993	.
Oahu_CentralTrackingPV_33_na	.	CentralTrackingPV	Oahu	29012.20791	35.52480189	.
Oahu_CentralTrackingPV_340_na	.	CentralTrackingPV	Oahu	13544.55677	16.29903158	.
Oahu_CentralTrackingPV_341_na	.	CentralTrackingPV	Oahu	13256.81277	15.45715667	.
Oahu_CentralTrackingPV_342_na	.	CentralTrackingPV	Oahu	13037.34026	55.38060277	.
